Name,CC0h_1,CC0h_2,CC0h_3,GC0h_1,GC0h_2,GC0h_3
4933401J01Rik,0,0,0,0,0,0
Gm26206,0,0,0,0,0,0
Xkr4,51,44,48,21,28,21
Gm37180,0,0,0,1,0,0
Gm37363,0,0,0,0,0,0
Gm37686,0,0,0,0,0,0
Gm1992,0,0,0,0,0,0
Gm37329,0,0,0,0,0,0
Gm38148,0,0,1,0,0,0
Gm19938,0,4,1,0,1,0
Gm10568,0,0,0,0,0,0
Gm38385,0,0,0,1,0,0
Gm27396,0,0,0,0,0,0
Gm37381,3,17,36,7,9,13
Rp1,22,33,28,21,8,23
Gm37483,0,0,0,0,0,0
Sox17,0,4,0,10,18,50
Gm37587,0,0,0,0,0,0
Gm22307,0,0,0,0,0,0
Gm37323,0,0,0,2,0,2
Gm25493,0,0,0,0,0,0
Mrpl15,1869,2134,1713,1420,936,1034
Gm37144,65,110,84,60,51,39
Lypla1,1287,1457,1181,1975,1472,1484
Gm37988,78,165,128,86,58,80
Tcea1,3985,5214,5020,4955,3647,3936
Gm37277,0,0,2,2,0,2
Rgs20,12,14,8,12,5,10
Gm37079,0,0,0,1,0,0
Gm16041,0,0,0,2,0,0
Atp6v1h,1018,1405,1301,1711,1398,1432
Gm37567,1,0,1,8,0,5
Gm38264,0,0,0,0,0,0
Oprk1,5,1,6,14,10,16
Gm22463,0,0,0,0,0,0
Gm37429,1,1,2,0,0,1
Npbwr1,1,1,0,4,0,2
Rb1cc1,1811,2285,2205,3503,2536,2830
4732440D04Rik,48,96,73,185,145,122
Alkal1,0,2,2,0,2,5
St18,14,53,44,11,19,25
Gm42492,0,1,1,0,0,0
Pcmtd1,1129,1414,1377,2432,1903,1976
Gm38372,34,62,56,140,135,107
Gm23274,0,0,0,0,0,0
Gm26901,128,211,174,242,217,177
Gm30414,3,3,0,2,1,0
Sntg1,568,721,689,686,551,597
Gm38024,1,0,0,1,0,0
Gm38259,0,0,0,1,0,0
Gm23358,0,0,0,0,0,0
Gm37005,0,0,0,0,0,0
Gm24276,0,0,0,1,0,0
Gm37629,0,4,0,0,0,0
Gm37143,0,0,0,0,0,1
Gm24765,0,0,0,0,0,0
Rrs1,2607,3179,2735,2093,1356,1599
