Name,CC0h_1,CC0h_2,CC0h_3,CC4h_1,CC4h_2,CC4h_3,CC12h_1,CC12h_2,CC12h_3,MGC0h_1,MGC0h_2,MGC0h_3,MGC4h_1,MGC4h_2,MGC4h_3,MGC12h_1,MGC12h_2,MGC12h_3
Mysm1,1044,1628,1386,1600,1668,1549,1751,1929,1977,2570,2015,2132,2058,2160,2159,1897,2013,2134
Gm12694,6,3,7,0,4,10,6,21,3,11,3,1,12,10,39,11,4,3
Gm12703,11,10,11,7,3,7,4,7,14,3,2,4,3,4,2,1,4,8
Jun,14531,3311,1733,11170,13482,4925,10823,8999,9203,8401,2399,2640,4094,8062,3384,5241,7524,4348
Junos,112,161,162,170,206,118,110,187,182,270,305,294,152,239,242,150,111,147
n-R5s189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4930551L18Rik,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
Gm28096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Gm12708,0,4,0,1,0,1,0,1,1,6,6,7,5,6,6,0,2,0
Gm29064,0,0,0,11,9,8,10,0,2,0,0,5,0,5,5,0,0,0
Gm830,0,6,0,0,0,0,0,2,0,34,34,53,2,3,8,10,10,13
Gm12707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gm25004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fggy,389,547,422,137,133,120,236,209,242,680,496,567,153,166,239,253,190,215
9530080O11Rik,4,8,10,8,10,14,2,2,6,7,4,0,3,5,6,7,5,4
Hook1,576,1157,1194,2287,1730,2652,903,833,861,1188,912,1004,608,771,820,610,483,567
Cyp2j13,0,0,5,19,10,12,4,10,7,2,2,2,2,0,0,0,2,3
Cyp2j12,11,66,55,82,25,227,0,1,1,2,9,15,4,6,8,14,5,4
Cyp2j7,0,0,1,6,0,3,0,4,0,3,0,4,4,2,2,2,2,4
Cyp2j11,0,2,3,3,2,0,0,1,0,3,3,8,3,2,0,15,25,26
Cyp2j8,5,2,3,0,0,4,0,12,1,4,7,1,1,2,3,1,2,3
Cyp2j6,153,135,116,51,95,50,235,240,265,310,200,248,78,62,68,130,126,159
Cyp2j9,103,182,138,32,37,31,47,84,72,171,104,159,30,37,50,54,36,57
Cyp2j5,0,7,0,2,3,4,2,1,0,1,0,3,1,3,0,1,0,2
Gm12695,0,0,6,0,1,1,0,0,0,1,0,2,3,0,0,1,3,2
Gm27579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm27521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm10192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E130114P18Rik,38,77,46,15,3,17,6,15,22,62,29,64,14,9,13,35,33,23
Gm12676,0,0,0,0,0,0,0,0,0,4,2,6,0,0,0,0,0,0
Nfia,4375,5804,4908,1906,1209,1262,1175,1311,1382,3987,3050,3406,1073,960,1177,1675,1804,1903
Gm24203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0610025J13Rik,14,47,16,4,0,1,0,0,0,15,12,8,2,2,6,6,4,6
Tm2d1,1339,1672,1590,1764,1280,1677,1192,1240,1441,1410,1079,1291,797,896,969,1093,1185,1219
Gm24960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patj,880,2437,1935,1787,877,4497,275,248,330,979,675,1171,405,403,521,602,517,580
Gm22625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1td1,30,11,35,7,6,2,0,6,10,18,20,18,4,20,8,8,6,5
Kank4,2132,2105,2255,415,214,212,17,32,6,1457,950,991,113,101,107,166,119,172
Kank4os,60,34,70,29,18,12,54,62,72,51,35,52,5,8,8,9,14,15
I0C0044D17Rik,0,0,0,6,0,0,1,0,0,1,0,0,1,0,0,0,0,1
Usp1,4399,5568,5182,4834,3923,4912,2046,1923,2273,5451,3887,3961,2668,2798,2968,2557,2602,2948
Dock7,3402,4917,4480,4399,3183,4698,3798,4298,3928,8459,5713,6404,4138,4559,4667,3663,4082,4253
Angptl3,79,63,50,5,8,10,4,10,15,49,38,34,9,7,18,16,5,15
Gm12705,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0
Gm12681,0,0,0,1,2,0,6,8,0,10,16,27,2,0,6,2,4,2
Atg4c,492,558,490,423,223,241,551,539,516,1418,1145,1030,384,402,413,512,594,490
Gm10305,0,0,0,18,2,0,0,0,0,4,2,2,0,0,2,2,0,0
Gm12689,22,53,26,16,2,19,16,25,22,38,34,39,12,6,12,30,15,32
Gm37556,1,5,2,5,0,4,2,1,0,5,1,1,3,1,1,0,0,2
Gm37117,0,1,0,0,0,1,2,1,2,0,0,0,0,0,0,1,0,2
Gm12690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12688,4,14,0,10,4,30,0,0,0,0,0,0,0,4,0,2,0,0
Foxd3,0,0,0,0,0,4,1,0,0,0,0,2,1,6,2,0,4,0
Gm23366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12682,3,0,4,1,1,6,1,2,2,1,2,2,1,1,1,0,4,2
Alg6,1023,1090,1025,425,405,224,465,456,511,1613,1317,1156,360,276,378,493,465,600
Itgb3bp,660,826,826,167,146,162,78,106,151,676,503,470,120,61,117,186,161,163
Efcab7,250,272,249,84,77,185,81,98,110,274,255,260,71,61,77,123,172,127
Gm26425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pgm2,5401,5372,4623,2891,2130,1653,5848,7098,6107,3986,2638,2881,1053,1264,1222,3557,4298,4058
Gm12702,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Ror1,475,883,647,380,440,415,86,72,113,403,281,480,182,160,221,254,252,339
Gm12701,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ube2u,36,87,52,30,21,65,8,2,4,15,13,10,6,13,6,11,11,24
Ube2uos,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Cachd1,4876,5513,4558,4299,3768,3102,2386,2313,2491,8834,5588,6481,4576,5891,5562,2341,2146,2646
Gm10577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm10576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raver2,468,751,751,526,441,653,167,192,201,1534,1223,1273,380,385,412,310,310,279
Gm22100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jak1,24795,27598,22796,20418,18905,12815,8536,8716,9228,68538,45576,46575,16468,21267,17834,10876,10636,11693
Gm24468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm25124,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Gm12801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12796,59,45,86,69,54,39,33,21,14,29,21,26,70,39,83,15,36,34
E130102H24Rik,52,133,91,57,46,60,58,98,45,138,126,198,214,103,130,72,70,85
Mir101a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0610043K17Rik,54,54,61,16,2,5,20,24,17,43,51,73,18,15,25,26,42,43
Gm12798,6,3,6,5,1,8,0,0,0,12,10,8,0,0,0,0,0,2
Ak4,4688,5007,4704,5163,3725,5024,5477,6668,5146,2346,1506,1724,1330,1287,1117,3371,3629,3567
Dnajc6,60,72,71,73,79,74,69,70,68,52,44,57,68,67,36,34,41,47
Gm22533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leprot,2258,2873,2675,2857,1807,3025,6129,6605,7038,2395,1762,2066,2230,2357,2342,2733,3107,3180
Lepr,20,41,57,1525,953,988,3733,4187,3685,49,35,110,11026,9934,11421,3375,4265,4332
B020004J07Rik,0,3,5,2,1,2,0,0,6,0,0,0,3,2,1,0,0,2
C130073F10Rik,1,46,33,52,22,153,2,0,0,7,4,16,0,4,12,7,0,3
Gm12800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12794,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Gm12790,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
Gm12789,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
Pde4b,25,32,41,606,697,530,506,362,444,410,341,326,1622,3070,2323,550,724,618
Gm24869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sgip1,22,39,33,35,31,52,13,12,10,14,18,25,23,29,32,25,23,10
Gm12709,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Tctex1d1,14,58,74,69,30,184,0,0,0,3,4,9,2,2,4,4,1,8
BB031773,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Insl5,0,10,0,0,2,0,0,3,0,6,2,2,2,0,0,0,3,1
Wdr78,304,405,457,235,151,172,180,175,174,556,349,393,213,162,221,234,248,231
Mier1,2308,2855,2093,2743,2324,1393,3297,3505,3572,5195,3911,4373,2419,2685,2564,2738,2741,3009
Slc35d1,1378,1465,1535,3569,3133,1987,1487,1396,1586,1648,1194,1280,1112,1257,1202,1324,1412,1618
Gm44037,4,62,42,16,4,16,4,18,14,40,56,76,22,26,32,44,38,62
4921539E11Rik,2,2,4,3,0,2,3,7,1,5,0,1,3,1,2,7,2,0
4930456L15Rik,7,4,0,0,4,0,4,5,4,6,6,11,4,0,2,0,2,8
Oma1,814,1195,980,688,521,791,458,509,496,1062,740,874,243,201,325,455,385,427
Gm12718,46,37,33,49,24,130,6,4,10,10,5,8,2,7,14,7,9,9
Gm23064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12720,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm22801,0,0,6,0,0,2,0,0,4,0,0,0,0,0,2,4,2,4
Gm25877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
