Name,CC0h_1,CC0h_2,CC0h_3,CC4h_1,CC4h_2,CC4h_3,CC12h_1,CC12h_2,CC12h_3,MGC0h_1,MGC0h_2,MGC0h_3,MGC4h_1,MGC4h_2,MGC4h_3,MGC12h_1,MGC12h_2,MGC12h_3
4933401J01Rik,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gm26206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xkr4,51,44,48,76,24,137,18,26,26,21,28,21,33,37,26,21,12,21
Gm37180,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gm37363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gm37686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gm1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37329,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gm38148,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
Gm19938,0,4,1,0,3,0,2,0,2,0,1,0,2,0,0,0,1,1
Gm10568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38385,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Gm27396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37381,3,17,36,58,12,111,14,13,18,7,9,13,4,3,9,4,10,16
Rp1,22,33,28,36,27,52,10,9,9,21,8,23,14,11,8,6,11,8
Gm37483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sox17,0,4,0,14,2,0,18,16,6,10,18,50,20,4,28,2,8,12
Gm37587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm22307,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gm37323,0,0,0,1,0,0,0,1,0,2,0,2,4,0,0,0,2,2
Gm25493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Mrpl15,1869,2134,1713,1507,1219,1035,1175,1075,1223,1420,936,1034,740,739,833,975,1064,1104
Gm37144,65,110,84,35,25,56,26,14,45,60,51,39,42,30,40,35,33,41
Lypla1,1287,1457,1181,1247,1008,1092,1411,1387,1711,1975,1472,1484,762,797,795,1265,1314,1282
Gm37988,78,165,128,201,180,253,76,63,88,86,58,80,75,94,105,73,67,95
Tcea1,3985,5214,5020,6988,5605,6428,3704,3752,4090,4955,3647,3936,3473,4386,3941,4031,4365,4474
Gm37277,0,0,2,0,2,0,0,0,0,2,0,2,0,0,4,2,0,0
Rgs20,12,14,8,24,16,13,6,19,15,12,5,10,17,9,18,9,17,11
Gm37079,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gm16041,0,0,0,0,0,1,0,0,0,2,0,0,1,1,1,0,1,0
Atp6v1h,1018,1405,1301,1660,1341,1766,2210,2209,2375,1711,1398,1432,1294,1788,1602,2661,3024,2914
Gm37567,1,0,1,0,2,7,0,1,0,8,0,5,1,0,5,0,0,1
Gm38264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oprk1,5,1,6,0,4,0,0,0,1,14,10,16,4,0,1,6,1,0
Gm22463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37429,1,1,2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1
Npbwr1,1,1,0,1,2,0,0,0,0,4,0,2,1,2,4,0,0,1
Rb1cc1,1811,2285,2205,2420,1912,2535,3542,3641,3753,3503,2536,2830,2306,2535,2482,3251,3611,3641
4732440D04Rik,48,96,73,53,18,92,101,112,97,185,145,122,92,83,137,118,93,141
Alkal1,0,2,2,2,2,2,0,1,0,0,2,5,0,6,2,0,4,2
St18,14,53,44,46,29,98,6,8,13,11,19,25,9,19,10,8,6,7
Gm42492,0,1,1,1,0,0,1,1,1,0,0,0,1,2,1,2,1,1
Pcmtd1,1129,1414,1377,1073,748,661,1685,1794,1946,2432,1903,1976,1551,1260,1669,1851,2304,2164
Gm38372,34,62,56,29,24,35,48,39,26,140,135,107,149,103,94,61,52,84
Gm23274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26901,128,211,174,144,98,81,45,50,35,242,217,177,130,56,106,84,83,118
Gm30414,3,3,0,1,2,1,1,0,3,2,1,0,6,0,1,1,2,0
Sntg1,568,721,689,18502,14413,9688,45113,44292,46967,686,551,597,24754,31170,24647,35438,45513,39298
Gm38024,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Gm38259,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,1,1
Gm23358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm24276,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0
Gm37629,0,4,0,26,2,10,0,0,0,0,0,0,6,2,0,0,0,0
Gm37143,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gm24765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rrs1,2607,3179,2735,4939,4367,2941,1246,1122,1421,2093,1356,1599,1698,2118,2062,2049,2211,2198
Adhfe1,84,164,158,71,59,174,22,26,26,668,376,617,94,82,90,123,91,129
2610203C22Rik,4,16,17,14,20,38,0,0,10,12,8,38,3,8,7,17,7,13
Vxn,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
Gm29520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mybl1,552,589,454,430,436,586,195,197,173,975,693,674,382,398,330,233,245,261
Vcpip1,1271,2317,2008,2633,1806,2981,2177,2387,2386,2638,2164,2424,1824,2031,1846,1818,2222,2193
1700034P13Rik,121,149,109,76,53,59,18,26,53,61,43,38,23,19,21,28,24,44
Sgk3,536,551,647,206,236,188,154,127,161,741,485,654,273,258,343,271,177,209
Gm22607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mcmdc2,241,261,369,35,21,18,12,7,25,121,109,136,46,24,51,30,23,51
Snhg6,1425,1569,1530,2029,1607,1643,785,851,879,1078,902,891,1126,1265,1262,1019,1068,1116
Snord87,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Tcf24,43,57,43,171,149,122,132,105,122,78,59,79,227,223,180,100,133,116
E330040D14Rik,0,0,0,1,0,0,0,5,8,6,4,0,0,4,4,10,6,0
Ppp1r42,3,6,7,3,2,11,0,6,5,1,6,7,2,0,1,2,7,0
Gm15818,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Gm24674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cops5,3732,4686,3799,4169,3576,3326,4068,3863,4472,3920,3076,2976,2388,2767,2719,3018,3375,3175
Cspp1,1328,2238,1889,1678,1436,1307,1209,1254,1370,2592,1990,2211,1232,1099,1385,1103,935,1289
1700047N06Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arfgef1,3084,4063,3882,6154,4406,6555,6179,6451,6160,6169,4347,5187,5316,6302,6216,5931,6804,6681
Gm26348,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
Gm37569,0,0,0,6,2,6,2,0,0,0,2,0,0,0,0,0,2,0
Cpa6,21,23,21,17,17,19,28,47,25,15,11,11,19,15,17,23,26,39
Gm38005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Gm25253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37133,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Gm22963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prex2,134,226,241,297,114,504,67,76,84,96,85,141,81,87,102,82,66,88
Gm24173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A830018L16Rik,21,45,56,54,23,92,23,13,20,55,44,53,27,28,28,21,20,28
Gm38178,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gm38069,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Gm22633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir6341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17644,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29663,0,8,2,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0
Sulf1,12,22,17,66,79,82,42,38,32,395,338,460,243,251,339,197,246,320
Slco5a1,11,53,47,173,50,262,580,724,667,30,21,48,127,132,125,70,68,53
Gm37162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29283,1,0,2,1,0,9,0,0,0,2,0,0,0,1,1,0,0,0
Prdm14,5,1,1,2,1,5,0,0,1,0,0,0,1,0,0,0,6,0
Ncoa2,2346,3344,3221,3122,2086,3527,3103,3622,3406,4597,3526,4083,2521,2836,3071,2788,3223,3166
Gm38376,0,0,4,6,0,0,1,3,4,8,0,0,2,8,0,1,6,2
Gm37409,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Gm27881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37702,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
Gm23169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38120,0,26,12,20,12,2,2,8,2,2,0,6,2,2,8,0,0,3
Gm38380,16,17,16,8,4,7,2,0,4,2,0,3,2,0,2,0,0,0
Gm29570,0,5,2,5,1,3,3,8,3,15,21,14,13,5,14,7,10,8
Tram1,3266,4348,3747,7667,6410,5859,5721,5676,6629,5406,4492,4541,4544,5160,5424,3669,3822,4250
Lactb2,832,1083,1051,1119,899,829,1139,1102,1065,1564,1092,1060,668,681,803,894,1081,1141
Gm38319,15,18,6,16,2,14,6,6,17,12,8,20,12,2,10,4,16,10
Xkr9,0,0,1,2,0,0,1,0,1,2,1,1,0,0,0,0,0,1
Gm26273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm36947,0,0,2,2,2,4,0,0,0,0,2,0,0,0,0,2,0,0
Gm25491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eya1,17,260,172,254,110,840,27,20,25,34,44,82,111,121,97,34,22,25
Gm22616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37444,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0
Gm9947,0,2,1,11,7,4,1,1,5,1,3,0,8,19,17,1,1,4
Msc,0,0,1,241,199,154,42,14,21,2,0,2,600,1227,719,28,12,18
Gm37412,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0
Trpa1,6,83,78,772,599,649,178,139,177,15,17,19,188,260,214,103,132,116
Gm26345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kcnb2,162,367,234,74,64,168,3,10,9,300,183,213,35,50,43,42,35,40
Gm38116,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Gm37138,8,0,4,0,0,0,0,1,0,2,2,2,2,0,0,3,0,0
Gm25227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm25168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terf1,1557,2489,2293,1935,1429,2211,886,1077,1055,2254,1717,1564,1292,1305,1244,1198,1255,1325
Gm37509,12,0,0,0,0,0,0,0,8,0,0,8,2,0,0,2,2,1
Sbspon,4,29,10,9,15,35,42,44,10,50,24,24,9,2,3,4,22,29
Gm23259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4930444P10Rik,2,2,3,4,11,3,17,4,4,2,1,4,8,5,1,16,11,13
Rpl7,27864,30204,25974,28792,25468,17526,22369,21221,24441,20615,14232,16261,14149,17466,16066,16050,16599,16762
Rdh10,304,1167,1138,2558,1597,3544,1190,1138,1346,498,481,717,1012,1650,1555,1042,1192,1220
Gm38249,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0
Gm28095,0,0,0,0,2,0,2,0,0,0,0,6,0,1,0,0,2,0
Stau2,759,1120,865,1090,782,1318,734,880,919,1106,743,881,673,771,744,768,793,713
Gm7568,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
Ube2w,1238,1921,1772,2225,1779,2645,1253,1241,1501,1837,1363,1499,1493,1792,1636,1668,1684,1675
Gm38342,2,0,17,16,20,39,3,6,10,4,5,0,7,9,3,2,8,10
Eloc,3803,4893,4423,4481,3292,5542,2553,2531,2804,2979,2309,2457,1830,2633,2125,2485,2589,2712
D030040B21Rik,0,1,0,1,1,4,2,2,3,4,0,1,0,0,0,4,5,4
Tmem70,1031,1441,1181,1344,783,1249,1264,1266,1268,1308,1030,1022,494,525,625,1186,1366,1299
Ly96,42,130,128,145,113,103,166,183,254,136,102,144,327,555,337,255,284,270
Gm28376,13,31,36,8,26,56,9,15,9,27,24,30,16,24,13,22,15,38
4921511E07Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jph1,228,280,200,279,296,214,225,297,362,349,273,296,279,458,349,428,472,469
Gm28783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gdap1,127,1045,984,1051,378,2896,0,0,0,75,136,274,57,66,98,107,45,61
Gm28784,16,24,44,50,19,215,0,1,0,2,6,18,0,0,4,2,2,0
Gm25166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pi15,0,1,1,0,0,2,1,0,2,57,62,83,23,54,49,34,38,64
Gm28154,0,0,2,0,0,1,1,0,0,0,0,4,0,0,0,0,0,2
Gm16070,16,11,12,11,2,24,4,0,1,7,6,16,2,3,3,5,0,7
Crispld1,0,4,4,0,3,3,0,0,0,22,36,54,8,13,22,9,8,8
Gm28153,9,1,13,10,3,0,0,0,4,8,13,23,8,2,3,3,11,9
Gm28756,2,2,5,6,7,12,5,2,1,0,4,7,11,8,4,1,1,4
Crisp4,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,3,0
Defb18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defb41,13,11,9,11,2,12,0,1,2,4,2,10,0,0,5,5,0,4
Gm24075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15825,5,0,0,0,1,1,0,1,0,0,0,0,3,2,0,1,1,0
Tfap2d,9,5,11,10,11,6,6,1,6,1,4,2,0,7,1,3,10,3
Tfap2b,0,72,69,35,31,106,3,2,0,1,10,10,3,2,10,2,2,4
Gm28340,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gm24633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38382,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pkhd1,50,165,128,201,77,407,30,22,18,27,20,28,33,57,45,45,23,34
Gm37315,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4930486I03Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm24162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28653,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,2,0
Mir206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir133b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il17a,0,0,0,20,32,18,4,4,4,0,0,0,10,16,10,0,0,0
Il17f,40,239,183,158,50,564,0,8,4,25,28,57,6,12,4,26,0,25
Mcm3,9396,10224,9278,5350,4962,3556,1442,1111,1342,12023,7552,7797,3355,3387,3719,2197,1981,2504
Gm28065,0,16,22,6,6,32,0,0,0,8,5,2,0,1,0,0,2,0
Gm24723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6720483E21Rik,0,44,46,10,0,0,2,10,9,40,56,36,5,0,12,10,4,2
Paqr8,1860,1818,1586,451,484,378,310,317,420,4652,3430,3448,437,541,533,404,364,457
Gm24171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Efhc1,744,1251,918,110,102,111,54,50,69,648,631,594,57,67,100,118,98,107
Tram2,11976,14918,12109,2982,2443,1595,1439,1413,1507,11264,9180,9003,1785,1718,1878,1678,1214,1912
Gm28287,0,4,8,0,0,2,0,2,0,2,0,2,4,2,0,0,0,0
Tmem14a,261,234,200,72,61,102,115,137,165,492,373,352,87,74,119,137,132,204
Gm38224,0,1,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1
Gsta3,70,79,39,24,22,19,29,25,58,76,39,58,18,18,32,30,26,38
Gm28836,0,0,0,0,0,0,0,0,6,0,4,2,0,0,6,0,3,0
Khdc1a,86,498,350,477,223,1202,0,6,2,30,61,156,29,45,40,61,28,76
Khdc1c,104,567,562,675,254,1774,0,0,0,52,77,191,24,54,50,78,46,46
Khdc1b,927,6337,5244,6024,2811,17088,22,24,14,480,721,1912,322,494,540,784,304,623
Kcnq5,4929,8531,6025,835,823,739,112,144,156,1950,1439,2219,692,558,688,818,496,649
Gm36949,20,6,6,0,6,2,0,0,0,5,6,10,4,2,7,0,2,2
Gm38243,0,0,2,0,0,0,2,1,1,0,2,0,2,0,0,0,2,0
Gm26580,19,10,36,2,20,6,0,0,0,17,12,14,4,11,6,8,4,12
Rims1,715,1265,1111,519,284,928,18,21,28,527,350,549,172,163,142,136,106,80
Gm29506,8,18,8,7,2,5,3,1,0,6,1,4,2,0,2,2,2,3
4933415F23Rik,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Gm24176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Mir30a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm27028,4,12,2,2,0,4,2,6,0,34,34,14,28,32,24,10,6,12
Mir30c-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29107,0,10,2,0,4,0,0,0,0,11,4,0,6,4,6,0,6,2
Ogfrl1,1270,1479,1456,609,411,439,421,414,498,1062,867,872,343,323,409,377,352,379
Gm28822,1,0,0,0,2,1,0,0,0,0,0,1,0,1,2,0,0,0
B3gat2,144,232,228,295,201,292,170,173,158,229,235,187,257,283,250,109,140,147
Smap1,2064,2407,2237,2116,1413,1766,2140,2110,2298,2065,1626,1736,1147,1283,1157,1539,1613,1486
Sdhaf4,480,633,471,273,186,335,244,335,359,544,390,383,140,101,155,240,248,283
Gm26524,0,3,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1
Fam135a,1031,1327,1369,1477,1000,1255,1148,1271,1538,3068,2232,2358,1497,1569,1740,1494,1686,1866
Gm37580,0,2,0,0,0,0,0,4,0,2,2,6,2,0,4,4,4,2
Col9a1,6,3,2,1,1,9,0,4,2,10,4,7,0,0,3,3,3,3
Col19a1,20,39,12,35,23,70,6,6,4,11,16,20,2,21,8,8,5,8
Gm26418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lmbrd1,836,932,805,1493,1328,1171,1762,1861,2212,2198,1782,2137,1921,1984,2193,2309,2526,2813
Gm28237,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Gm29414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adgrb3,78,235,162,156,81,356,5,17,11,42,32,73,63,38,48,26,17,31
Gm20172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm22260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37331,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37211,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Gm37862,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37880,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
Gm25294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37011,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Gm37051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gm38260,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gm37628,7,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0
8030445P17Rik,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Gm38198,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
Gm37077,1,0,0,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0
Gm37895,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm36952,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gm37602,1,1,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,2
2900022M07Rik,13,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1
2900002M20Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm24064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4931408C20Rik,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
n-R5s209,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gm5524,2,1,2,1,1,1,2,0,0,3,0,1,0,2,0,0,4,0
Gm38089,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gm597,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gm25586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm22679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm23785,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mir6342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm23771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm27430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9898,0,0,2,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0
Phf3,4291,7130,6561,6429,4760,10647,4616,5190,4952,6671,4796,5111,3671,4001,3868,4416,4216,4669
Gm37522,0,0,2,0,0,0,2,0,0,0,2,8,0,8,2,0,2,0
Gm37906,17,5,8,3,3,0,1,0,2,1,10,0,2,6,8,2,1,5
Ptp4a1_1,34,43,22,97,79,34,28,30,42,94,91,64,85,133,76,34,62,66
Ptp4a1_2,491,296,319,649,761,552,521,462,522,532,397,363,389,685,421,456,498,470
AC153137.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4931428L18Rik,87,535,398,496,270,1383,1,6,12,29,52,89,26,30,35,50,20,34
Gm28644,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gm27362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29128,3,2,0,0,0,3,0,1,0,1,0,1,1,1,0,0,0,0
Lgsn,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Pih1d3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm23032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khdrbs2,70,147,87,54,41,124,25,17,15,83,47,86,44,63,51,37,35,30
Gm25814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37999,0,11,0,0,0,8,1,0,0,4,2,2,0,0,2,0,2,0
Gm37110,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9839,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0
Gm37792,0,0,2,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0
Gm5415,1,11,2,4,1,4,1,2,0,6,2,6,4,3,2,6,2,2
Gm24732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37426,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
Gm23024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37151,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gm37724,197,1121,935,1128,500,3420,30,24,18,71,117,241,52,102,95,104,71,69
Gm24901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm25792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm23453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prim2,1838,2171,2100,1137,837,1140,613,746,713,1551,1176,1284,538,506,582,852,857,982
Gm37618,0,0,2,0,4,0,1,0,0,1,0,1,0,1,0,0,0,2
1700001G17Rik,30,42,19,6,9,9,4,1,10,16,18,18,4,4,8,6,18,8
Gm38173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Rab23,845,1245,1171,1028,720,1239,407,384,502,1174,913,1060,654,595,714,517,484,573
Bag2,1187,1361,1216,1181,1072,801,893,1004,877,988,825,819,514,460,597,778,829,846
Gm37905,7,4,2,6,0,11,2,0,0,0,0,2,0,0,2,0,0,0
Zfp451,2209,3403,2668,5774,4610,4115,3499,4611,4096,3742,2678,2967,2698,2991,2709,2222,2346,2568
Bend6,4,18,18,26,44,80,17,12,20,15,12,6,12,5,19,34,9,29
Gm37067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dst,7987,8734,8506,16847,15160,10217,9763,10703,10446,10150,7649,10577,6718,7411,8169,7516,7592,10112
Gm37354,0,0,6,6,6,0,1,0,0,0,0,0,0,3,0,0,0,0
Gm23792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38157,67,42,85,68,28,80,20,8,18,6,3,8,6,10,11,5,8,13
Mir6896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26788,4,8,10,9,46,14,2,3,4,10,7,5,22,27,20,4,2,8
A930005N03Rik,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
Gm37958,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Gm37385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37233,60,48,51,72,72,62,252,211,169,117,144,126,63,126,113,108,124,154
Mir5103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccdc115,956,1982,1746,1899,1039,3694,834,870,914,660,538,690,400,401,529,1107,1160,1106
Gm28306,10,13,15,3,14,25,8,11,4,16,2,8,6,2,0,12,4,9
Imp4,2235,3171,2278,2944,1996,2742,1913,1956,2200,1885,1460,1673,1300,1573,1472,1921,2036,2048
