Name,CC12h_1,CC12h_2,CC12h_3,GC12h_1,GC12h_2,GC12h_3
4933401J01Rik,0,0,0,0,0,0
Gm26206,0,0,0,0,0,0
Xkr4,18,26,26,21,12,21
Gm37180,0,0,0,0,0,0
Gm37363,0,0,0,0,1,0
Gm37686,0,0,0,0,0,1
Gm1992,0,0,0,0,0,0
Gm37329,0,0,1,0,0,0
Gm38148,0,0,1,0,0,2
Gm19938,2,0,2,0,1,1
Gm10568,0,0,0,0,0,0
Gm38385,0,0,0,0,0,1
Gm27396,0,0,0,0,0,0
Gm37381,14,13,18,4,10,16
Rp1,10,9,9,6,11,8
Gm37483,0,0,0,0,0,0
Sox17,18,16,6,2,8,12
Gm37587,0,0,0,0,0,0
Gm22307,0,1,0,0,0,0
Gm37323,0,1,0,0,2,2
Gm25493,0,0,0,0,0,0
Mrpl15,1175,1075,1223,975,1064,1104
Gm37144,26,14,45,35,33,41
Lypla1,1411,1387,1711,1265,1314,1282
Gm37988,76,63,88,73,67,95
Tcea1,3704,3752,4090,4031,4365,4474
Gm37277,0,0,0,2,0,0
Rgs20,6,19,15,9,17,11
Gm37079,0,0,0,0,0,0
Gm16041,0,0,0,0,1,0
Atp6v1h,2210,2209,2375,2661,3024,2914
Gm37567,0,1,0,0,0,1
Gm38264,0,0,0,0,0,0
Oprk1,0,0,1,6,1,0
Gm22463,0,0,0,0,0,0
Gm37429,0,0,0,0,0,1
Npbwr1,0,0,0,0,0,1
Rb1cc1,3542,3641,3753,3251,3611,3641
4732440D04Rik,101,112,97,118,93,141
Alkal1,0,1,0,0,4,2
St18,6,8,13,8,6,7
Gm42492,1,1,1,2,1,1
Pcmtd1,1685,1794,1946,1851,2304,2164
Gm38372,48,39,26,61,52,84
Gm23274,0,0,0,0,0,0
Gm26901,45,50,35,84,83,118
Gm30414,1,0,3,1,2,0
Sntg1,45113,44292,46967,35438,45513,39298
Gm38024,0,1,1,0,0,0
Gm38259,0,0,0,0,1,1
Gm23358,0,0,0,0,0,0
Gm37005,0,0,0,0,0,0
Gm24276,0,0,0,2,0,0
Gm37629,0,0,0,0,0,0
Gm37143,0,0,0,0,0,0
Gm24765,0,0,0,0,0,0
