Name,CC4h_1,CC4h_2,CC4h_3,GC4h_1,GC4h_2,GC4h_3
Hoxc8,268,186,125,114,101,76
Hoxc6,310,203,152,307,203,206
Mir615,0,0,0,0,0,0
Hoxc4,272,188,121,215,132,196
5730585A16Rik,2,4,0,2,0,2
Gm28876,4,4,0,2,0,11
Gm10830,0,0,0,2,0,0
Gm28265,0,0,0,0,0,0
D930007P13Rik,7,4,6,4,15,8
Gm49477,0,0,0,0,0,0
Smug1,1358,914,1735,855,895,986
Cbx5,5218,3735,2595,4142,3596,4427
Hnrnpa1,47502,42585,29038,27624,32875,28177
Nfe2,9,14,6,16,12,29
Copz1,4878,3669,4344,2411,2791,2657
Mir148b,0,0,0,0,0,0
Gm49482,0,0,0,2,1,2
Gpr84,6,0,4,0,0,0
Zfp385a,1151,641,1309,407,373,444
Itga5,15208,10148,7793,11780,10694,13024
Mir6963,0,0,0,0,1,1
Gm37322,0,0,0,0,0,0
Gtsf1,1448,453,4220,46,92,99
Gtsf2,20,13,16,25,22,34
Nckap1l,231,160,665,35,67,83
Pde1b,417,205,1299,38,54,52
Ppp1r1a,2,6,10,4,8,10
Glycam1,0,0,0,0,1,0
Gm49272,0,0,0,0,0,0
Mucl1,25,4,19,18,28,16
Gm22852,0,0,1,0,0,0
Mucl2,42,18,38,29,22,40
Gm35912,0,0,0,0,0,0
Gm23215,0,0,0,0,0,0
Gm49504,0,0,0,0,0,0
Gm22862,0,0,0,0,0,0
Gm49507,1,4,2,9,7,11
Gm35974,0,0,0,0,2,0
Gm22598,0,0,0,0,0,0
Olfr161,0,0,0,0,0,2
Mefv,2,0,4,0,2,8
Zfp263,1303,1028,743,1296,1467,1624
Gm41409,91,91,60,60,54,67
Olfr15,0,0,0,1,2,6
Zfp174,177,54,156,97,54,86
Zfp597,473,383,401,422,391,398
Gm26675,0,0,0,0,0,0
Naa60,1547,1166,1188,798,826,911
Gm20695,18,16,8,6,0,4
1700037C18Rik,52,42,9,22,22,18
Cluap1,503,347,437,278,239,332
1700016D08Rik,0,0,0,0,0,0
Gm23493,0,0,0,0,0,0
Gm15537,0,0,0,0,0,2
Nlrc3,1,12,24,26,19,46
Slx4,2299,1850,2083,1937,1979,1937
Gm15879,169,128,99,152,130,130
Dnase1,109,128,75,177,160,183
Trap1,3906,3755,3374,2834,3002,3129
Gm23413,0,0,0,0,0,0
Crebbp,3958,3141,3064,3422,3926,3952
Gm37186,0,1,0,4,0,0
Adcy9,863,667,827,842,666,801
Srl,190,132,174,113,65,150
Tfap4,1055,675,714,434,330,447
Glis2,1482,746,731,1413,1299,1417
Pam16,94,45,97,52,44,66
Coro7,388,251,347,433,454,487
Vasn,14004,14299,7864,6516,12713,8627
Dnaja3,2627,1746,2453,1239,1162,1343
Nmral1,415,296,352,294,174,280
Hmox2,1649,967,969,624,670,672
Gm15859,0,4,0,2,0,0
Cdip1,3543,2816,2563,3430,3782,3767
Gm15835,0,0,0,0,0,0
4930562C15Rik,371,147,1099,95,126,119
Ubald1,1538,1156,1074,1234,1542,1398
Mgrn1,2712,2104,2107,2453,2414,2469
Gm16861,54,40,19,63,54,66
Nudt16l1,1144,723,1012,585,569,598
Anks3,2114,1376,1289,2643,2120,2701
Septin12,48,13,72,2,3,2
Smim22,0,0,6,0,0,4
Gm42477,3,5,0,1,1,1
Rogdi,167,107,211,144,138,230
Glyr1,6280,4907,5789,5098,5562,5803
Ubn1,4210,2702,5694,2670,3010,2806
Gm23483,0,0,0,0,0,0
Ppl,68,31,22,143,172,265
Sec14l5,10,0,13,2,5,20
Nagpa,670,626,438,566,437,507
AU021092,155,142,76,82,136,110
Mir6364,0,0,0,0,0,0
Gm23689,0,4,0,2,2,6
Gm26095,0,0,0,0,0,0
Alg1,976,794,1088,882,656,940
Eef2kmt,560,356,263,382,298,369
